"NmBarang","Tahun","Bulan","Periode","TotalPenjualan","PenjualanBulanSebelumnya"
ABC AAA DRY CELL,2023,12,Akhir Bulan,18000.0,
ABC AAA DRY CELL,2023,12,Awal Bulan,10000.0,18000.0
ABC AAA DRY CELL,2024,1,Akhir Bulan,30000.0,
ABC AAA DRY CELL,2024,1,Awal Bulan,42000.0,30000.0
ABC AAA DRY CELL,2024,1,Tengah Bulan,23000.0,42000.0
ABC ALKALINE AA BSR,2023,12,Akhir Bulan,100000.0,
ABC ALKALINE AA BSR,2023,12,Tengah Bulan,176000.0,100000.0
ABC ALKALINE AA BSR,2024,1,Akhir Bulan,68500.0,
ABC ALKALINE AA BSR,2024,1,Tengah Bulan,249000.0,68500.0
ABC ALKALINE AA BSR,2024,2,Awal Bulan,35000.0,249000.0
ABC ALKALINE AAA KCL,2023,12,Akhir Bulan,98000.0,
ABC ALKALINE AAA KCL,2023,12,Awal Bulan,20000.0,98000.0
ABC ALKALINE AAA KCL,2023,12,Tengah Bulan,39000.0,20000.0
ABC ALKALINE AAA KCL,2024,1,Awal Bulan,24000.0,
ABC ALKALINE AAA KCL,2024,1,Tengah Bulan,401000.0,24000.0
ABC ALKALINE AAA KCL,2024,2,Awal Bulan,461500.0,401000.0
ABC ALKALINE AAA KCL,2024,3,Tengah Bulan,18000.0,461500.0
ABC ALKALINE AAA KCL,2024,5,Akhir Bulan,128000.0,18000.0
ABC ALKALINE AAA KCL,2024,5,Tengah Bulan,136500.0,128000.0
ABC BIRU DRY CELL AA,2024,1,Akhir Bulan,167500.0,
ABC BIRU DRY CELL AA,2024,2,Akhir Bulan,78000.0,167500.0
ABC BIRU DRY CELL AA,2024,2,Awal Bulan,86000.0,78000.0
ABC BIRU DRY CELL AA,2024,2,Tengah Bulan,639500.0,86000.0
ABC BIRU DRY CELL AA,2024,3,Akhir Bulan,11000.0,639500.0
ABC BIRU DRY CELL AA,2024,3,Awal Bulan,389000.0,11000.0
ABC BIRU DRY CELL AA,2024,3,Tengah Bulan,18000.0,389000.0
ABC BIRU DRY CELL AA,2024,4,Akhir Bulan,42500.0,18000.0
ABC BIRU DRY CELL AA,2024,4,Tengah Bulan,3000.0,42500.0
ABC EXTRA PEDAS 275 ML,2023,12,Awal Bulan,43000.0,
ABC EXTRA PEDAS 275 ML,2024,1,Akhir Bulan,115000.0,
ABC EXTRA PEDAS 275 ML,2024,1,Tengah Bulan,578500.0,115000.0
ABC EXTRA PEDAS 275 ML,2024,2,Awal Bulan,44000.0,578500.0
ABC GULA AREN,2023,12,Akhir Bulan,44000.0,
ABC GULA AREN,2023,12,Awal Bulan,50000.0,44000.0
ABC GULA AREN,2023,12,Tengah Bulan,68000.0,50000.0
ABC GULA AREN,2024,1,Akhir Bulan,364500.0,
ABC GULA AREN,2024,1,Awal Bulan,119500.0,364500.0
ABC GULA AREN,2024,1,Tengah Bulan,19500.0,119500.0
ABC GULA AREN,2024,2,Akhir Bulan,137000.0,19500.0
ABC GULA AREN,2024,2,Awal Bulan,98500.0,137000.0
ABC GULA AREN,2024,2,Tengah Bulan,574000.0,98500.0
ABC KECAP ASIN 133 ML,2024,1,Akhir Bulan,19000.0,
ABC KECAP ASIN 133 ML,2024,2,Awal Bulan,13000.0,19000.0
ABC KECAP EX PDS REFF 70,2023,12,Akhir Bulan,193500.0,
ABC KECAP EX PDS REFF 70,2024,1,Akhir Bulan,262500.0,
ABC KECAP EX PDS REFF 70,2024,1,Awal Bulan,112000.0,262500.0
ABC KECAP EX PDS REFF 70,2024,1,Tengah Bulan,278000.0,112000.0
ABC KECAP MANIS 15 ML,2024,5,Akhir Bulan,199500.0,
ABC KECAP MANIS 15 ML,2024,5,Tengah Bulan,104500.0,199500.0
ABC KECAP MANIS 15 ML,2024,6,Awal Bulan,278000.0,104500.0
ABC KECAP MANIS 15 ML,2024,6,Tengah Bulan,334000.0,278000.0
ABC KECAP MNS REFF 85,2024,1,Akhir Bulan,146000.0,
ABC KECAP MNS REFF 85,2024,1,Tengah Bulan,75500.0,146000.0
ABC KECAP PEDAS 135 ML,2024,1,Akhir Bulan,44500.0,
ABC KECAP PEDAS 135 ML,2024,1,Awal Bulan,242000.0,44500.0
ABC KECAP PEDAS 135 ML,2024,2,Tengah Bulan,101000.0,242000.0
ABC KECAP PEDAS 135 ML,2024,3,Awal Bulan,18500.0,101000.0
ABC KECAP PEDAS 135 ML,2024,4,Akhir Bulan,202000.0,18500.0
ABC KECAP PEDAS 135ML,2024,1,Akhir Bulan,66000.0,
ABC KECAP PEDAS 135ML,2024,2,Akhir Bulan,77000.0,66000.0
ABC KECAP PEDAS 135ML,2024,3,Awal Bulan,50000.0,77000.0
ABC KLEPON,2024,2,Akhir Bulan,271000.0,
ABC KLEPON,2024,3,Akhir Bulan,81000.0,271000.0
ABC KLEPON,2024,3,Awal Bulan,132500.0,81000.0
ABC KLEPON,2024,4,Akhir Bulan,49000.0,132500.0
ABC KLEPON,2024,5,Awal Bulan,68000.0,49000.0
ABC KLEPON,2024,6,Awal Bulan,31500.0,68000.0
ABC KLEPON,2024,6,Tengah Bulan,49000.0,31500.0
ABC KURMA,2023,12,Akhir Bulan,216000.0,
ABC KURMA,2023,12,Awal Bulan,244500.0,216000.0
ABC KURMA,2023,12,Tengah Bulan,224400.0,244500.0
ABC KURMA,2024,1,Akhir Bulan,154500.0,
ABC KURMA,2024,1,Awal Bulan,308500.0,154500.0
ABC KURMA,2024,1,Tengah Bulan,161500.0,308500.0
ABC KURMA,2024,2,Akhir Bulan,387000.0,161500.0
ABC KURMA,2024,2,Awal Bulan,364000.0,387000.0
ABC KURMA,2024,2,Tengah Bulan,37500.0,364000.0
ABC KURMA,2024,3,Akhir Bulan,40000.0,37500.0
ABC KURMA,2024,3,Awal Bulan,46500.0,40000.0
ABC KURMA,2024,4,Akhir Bulan,104500.0,46500.0
ABC KURMA,2024,5,Awal Bulan,42500.0,104500.0
ABC PLUS GULA,2023,12,Akhir Bulan,60500.0,
ABC PLUS GULA,2023,12,Awal Bulan,403500.0,60500.0
ABC PLUS GULA,2023,12,Tengah Bulan,4000.0,403500.0
ABC PLUS GULA,2024,1,Akhir Bulan,8000.0,
ABC PLUS GULA,2024,1,Awal Bulan,64000.0,8000.0
ABC PLUS GULA,2024,1,Tengah Bulan,28000.0,64000.0
ABC PLUS GULA,2024,2,Awal Bulan,23000.0,28000.0
ABC PLUS GULA,2024,6,Tengah Bulan,7000.0,23000.0
ABC SAMBAL ASLI 135ML,2024,1,Akhir Bulan,217000.0,
ABC SAMBAL ASLI 135ML,2024,2,Awal Bulan,72500.0,217000.0
ABC SAMBAL ASLI 135ML,2024,5,Akhir Bulan,56000.0,72500.0
ABC SAMBAL ASLI 135ML,2024,5,Awal Bulan,991500.0,56000.0
ABC SAMBAL ASLI 135ML,2024,5,Tengah Bulan,138000.0,991500.0
ABC SAMBAL ASLI 135ML,2024,6,Awal Bulan,43000.0,138000.0
ABC SAMBAL ASLI 135ML,2024,6,Tengah Bulan,93000.0,43000.0
ABC SAMBAL ASLI 75 GR,2023,12,Akhir Bulan,58000.0,
ABC SAMBAL ASLI 75 GR,2024,1,Awal Bulan,117000.0,
ABC SAMBAL ASLI 75 GR,2024,1,Tengah Bulan,42000.0,117000.0
ABC SAMBAL ASLI 75 GR,2024,2,Akhir Bulan,165500.0,42000.0
ABC SAMBAL ASLI 75 GR,2024,2,Awal Bulan,30000.0,165500.0
ABC SAMBAL ASLI 75 GR,2024,2,Tengah Bulan,168500.0,30000.0
ABC SAMBAL ASLI 8 G,2024,1,Akhir Bulan,242000.0,
ABC SAMBAL ASLI 8 G,2024,1,Tengah Bulan,213350.0,242000.0
ABC SAMBAL EP 75G,2023,12,Akhir Bulan,186000.0,
ABC SAMBAL EXTREMPEDAS 135,2024,1,Akhir Bulan,58500.0,
ABC SAMBAL EXTREMPEDAS 135,2024,2,Awal Bulan,592500.0,58500.0
ABC SAMBAL EXTREMPEDAS 135,2024,3,Tengah Bulan,8000.0,592500.0
ABC SAMBAL EXTREMPEDAS 135,2024,4,Akhir Bulan,577500.0,8000.0
ABC SAMBAL EXTREMPEDAS 135,2024,5,Akhir Bulan,242500.0,577500.0
ABC SAMBAL EXTREMPEDAS 135,2024,5,Awal Bulan,1095000.0,242500.0
ABC SAMBAL EXTREMPEDAS 135,2024,5,Tengah Bulan,93500.0,1095000.0
ABC SAMBAL EXTREMPEDAS 135,2024,6,Awal Bulan,104000.0,93500.0
ABC SAOS TOMAT 135ML,2024,2,Akhir Bulan,118000.0,
ABC SAOS TOMAT 135ML,2024,2,Awal Bulan,90000.0,118000.0
ABC SAOS TOMAT 135ML,2024,5,Tengah Bulan,548500.0,90000.0
ABC SAOS TOMAT 135ML,2024,6,Awal Bulan,13000.0,548500.0
ABC SAOS TOMAT 135ML,2024,6,Tengah Bulan,25500.0,13000.0
ABC SARDEN 425G CHILI,2023,12,Akhir Bulan,32000.0,
ABC SARDEN 425G CHILI,2023,12,Awal Bulan,92500.0,32000.0
ABC SARDEN 425G CHILI,2024,1,Awal Bulan,31000.0,
ABC SARDEN 425G CHILI,2024,1,Tengah Bulan,67000.0,31000.0
ABC SARDEN 425G EXTRA PDS,2023,12,Akhir Bulan,72500.0,
ABC SARDEN 425G EXTRA PDS,2023,12,Awal Bulan,68000.0,72500.0
ABC SARDEN SERUNDENG 155,2023,12,Akhir Bulan,65500.0,
ABC SARDEN SERUNDENG 155,2024,1,Akhir Bulan,30000.0,
ABC SARDEN SERUNDENG 155,2024,1,Awal Bulan,47000.0,30000.0
ABC SARDEN SERUNDENG 155,2024,2,Akhir Bulan,68000.0,47000.0
ABC SARDEN SERUNDENG 155,2024,2,Awal Bulan,85000.0,68000.0
ABC SARDEN SERUNDENG 155,2024,2,Tengah Bulan,138500.0,85000.0
ABC SARDEN SERUNDENG 155,2024,3,Akhir Bulan,58000.0,138500.0
ABC SARDEN SERUNDENG 155,2024,3,Tengah Bulan,18000.0,58000.0
ABC SARDEN SERUNDENG 155,2024,4,Akhir Bulan,246500.0,18000.0
ABC SARDEN SERUNDENG 155,2024,4,Tengah Bulan,69500.0,246500.0
ABC SARDEN SERUNDENG 155,2024,5,Awal Bulan,35500.0,69500.0
ABC SARDINES EKSTRA PEDAS 155G,2023,12,Akhir Bulan,33000.0,
ABC SARDINES EKSTRA PEDAS 155G,2024,1,Akhir Bulan,192000.0,
ABC SARDINES EKSTRA PEDAS 155G,2024,1,Awal Bulan,59500.0,192000.0
ABC SARDINES EKSTRA PEDAS 155G,2024,1,Tengah Bulan,183500.0,59500.0
ABC SARDINES EKSTRA PEDAS 155G,2024,2,Akhir Bulan,252000.0,183500.0
ABC SARDINES EKSTRA PEDAS 155G,2024,2,Awal Bulan,67000.0,252000.0
ABC SARDINES EKSTRA PEDAS 155G,2024,2,Tengah Bulan,101500.0,67000.0
ABC SARDINES EKSTRA PEDAS 155G,2024,3,Akhir Bulan,83500.0,101500.0
ABC SARDINES EKSTRA PEDAS 155G,2024,3,Tengah Bulan,78500.0,83500.0
ABC SARDINES EKSTRA PEDAS 155G,2024,4,Akhir Bulan,139000.0,78500.0
ABC SARDINES EKSTRA PEDAS 155G,2024,4,Tengah Bulan,51000.0,139000.0
ABC SARDINES EKSTRA PEDAS 155G,2024,5,Akhir Bulan,12000.0,51000.0
ABC SARDINES EKSTRA PEDAS 155G,2024,5,Awal Bulan,101500.0,12000.0
ABC SARDINES EKSTRA PEDAS 155G,2024,5,Tengah Bulan,132000.0,101500.0
ABC SARDINES TOMAT 425G,2023,12,Akhir Bulan,43000.0,
ABC SARDINES TOMAT 425G,2023,12,Awal Bulan,46500.0,43000.0
ABC SARDINES TOMAT 425G,2023,12,Tengah Bulan,140000.0,46500.0
ABC SARI KCNG IJO 250,2024,4,Akhir Bulan,521000.0,
ABC SARI KCNG IJO 250,2024,5,Akhir Bulan,408500.0,521000.0
ABC SARI KCNG IJO 250,2024,5,Awal Bulan,3348500.0,408500.0
ABC SARI KCNG IJO 250,2024,5,Tengah Bulan,1007000.0,3348500.0
ABC SARI KCNG IJO 250,2024,6,Awal Bulan,1682000.0,1007000.0
ABC SARI KCNG IJO 250,2024,6,Tengah Bulan,242000.0,1682000.0
ABC SARI KH 200,2024,6,Tengah Bulan,297000.0,
ABC SMBL AYM GRNG 135,2024,1,Akhir Bulan,87000.0,
ABC SMBL AYM GRNG 135,2024,5,Akhir Bulan,154000.0,87000.0
ABC SMBL AYM GRNG 135,2024,5,Awal Bulan,71500.0,154000.0
ABC SMBL AYM GRNG 135,2024,5,Tengah Bulan,66500.0,71500.0
ABC SMBL AYM GRNG 135,2024,6,Awal Bulan,91500.0,66500.0
ABC SMBL EXTR PDS 135,2024,1,Akhir Bulan,35000.0,
ABC SMBL EXTR PDS 135,2024,2,Awal Bulan,29000.0,35000.0
ABC SMBL EXTR PDS 135,2024,3,Akhir Bulan,83500.0,29000.0
ABC SMBL EXTR PDS 135,2024,3,Tengah Bulan,18000.0,83500.0
ABC SMBL EXTR PDS 135,2024,4,Akhir Bulan,189500.0,18000.0
ABC SMBL EXTR PDS 135,2024,6,Awal Bulan,148000.0,189500.0
ABC SMBL EXTRA PEDAS 75 G,2023,12,Akhir Bulan,148000.0,
ABC SMBL EXTRA PEDAS 75 G,2024,1,Akhir Bulan,262000.0,
ABC SMBL EXTRA PEDAS 75 G,2024,1,Awal Bulan,216500.0,262000.0
ABC SMBL EXTRA PEDAS 75 G,2024,1,Tengah Bulan,129500.0,216500.0
ABC SMBL EXTRA PEDAS 75 G,2024,2,Akhir Bulan,198000.0,129500.0
ABC SMBL EXTRA PEDAS 75 G,2024,2,Awal Bulan,11500.0,198000.0
ABC SMBL EXTRA PEDAS 75 G,2024,2,Tengah Bulan,176000.0,11500.0
ABC SMBL MNS PDS BTL 135,2024,2,Awal Bulan,213000.0,
ABC SMBL MNS PDS BTL 135,2024,3,Tengah Bulan,8000.0,213000.0
ABC SMBL MNS PDS BTL 135,2024,4,Akhir Bulan,152000.0,8000.0
ABC SUPER POWER,2024,1,Akhir Bulan,6000.0,
ABC SUPER POWER,2024,1,Tengah Bulan,6000.0,6000.0
ABC SUPER POWER,2024,2,Awal Bulan,12000.0,6000.0
ABC SUPER POWER,2024,3,Awal Bulan,4500.0,12000.0
ABC SUPER POWER,2024,4,Tengah Bulan,6000.0,4500.0
ABC SYRUP MELON,2023,12,Akhir Bulan,60000.0,
ADEM SARI HERBAL TEA 320ML,2023,12,Akhir Bulan,607000.0,
ADEM SARI HERBAL TEA 320ML,2023,12,Awal Bulan,613500.0,607000.0
ADEM SARI HERBAL TEA 320ML,2023,12,Tengah Bulan,249500.0,613500.0
ADEM SARI HERBAL TEA 320ML,2024,1,Akhir Bulan,13500.0,
ADEM SARI HERBAL TEA 320ML,2024,1,Awal Bulan,592000.0,13500.0
ADEM SARI HERBAL TEA 320ML,2024,1,Tengah Bulan,355000.0,592000.0
ADEM SARI LEMON 320ML,2023,12,Akhir Bulan,1398000.0,
ADEM SARI LEMON 320ML,2023,12,Awal Bulan,573000.0,1398000.0
ADEM SARI LEMON 320ML,2023,12,Tengah Bulan,605000.0,573000.0
ADEM SARI LEMON 320ML,2024,1,Akhir Bulan,745500.0,
ADEM SARI LEMON 320ML,2024,1,Awal Bulan,637000.0,745500.0
ADEM SARI LEMON 320ML,2024,1,Tengah Bulan,151000.0,637000.0
ADEM SARI LEMON 320ML,2024,2,Akhir Bulan,701500.0,151000.0
ADEM SARI LEMON 320ML,2024,2,Awal Bulan,664500.0,701500.0
ADEM SARI LEMON 320ML,2024,2,Tengah Bulan,649500.0,664500.0
ADEM SARI LEMON 320ML,2024,3,Akhir Bulan,258500.0,649500.0
ADEM SARI LEMON 320ML,2024,3,Awal Bulan,244000.0,258500.0
ADEM SARI LEMON 320ML,2024,3,Tengah Bulan,626000.0,244000.0
ADEM SARI LEMON 320ML,2024,4,Tengah Bulan,405000.0,626000.0
ADEM SARI LEMON 320ML,2024,6,Awal Bulan,1033000.0,405000.0
ADEM SARI SACHET 7 G,2024,5,Akhir Bulan,140000.0,
ADEM SARI SACHET 7 G,2024,5,Tengah Bulan,6000.0,140000.0
ADEM SARI SASET,2023,12,Akhir Bulan,210000.0,
ADEM SARI SASET,2023,12,Tengah Bulan,183000.0,210000.0
ADEM SARI SASET,2024,1,Akhir Bulan,50000.0,
ADEM SARI SASET,2024,1,Awal Bulan,125500.0,50000.0
ADEM SARI SASET,2024,1,Tengah Bulan,151500.0,125500.0
ADEM SARI SASET,2024,2,Akhir Bulan,48000.0,151500.0
ADEM SARI SASET,2024,2,Awal Bulan,328500.0,48000.0
ADEM SARI SASET,2024,2,Tengah Bulan,539000.0,328500.0
ADEM SARI SASET,2024,3,Awal Bulan,9000.0,539000.0
ADEM SARI SASET,2024,3,Tengah Bulan,67000.0,9000.0
ADEM SARI SASET,2024,4,Akhir Bulan,87000.0,67000.0
ADEM SARI SASET,2024,5,Akhir Bulan,203500.0,87000.0
ADEM SARI SASET,2024,5,Awal Bulan,386500.0,203500.0
ADEM SARI SASET,2024,5,Tengah Bulan,174000.0,386500.0
ADEM SARI SASET,2024,6,Awal Bulan,32000.0,174000.0
ADEM SARI SASET,2024,6,Tengah Bulan,40500.0,32000.0
ADEM SARI SPARKLING 320ML,2023,12,Akhir Bulan,1140000.0,
ADEM SARI SPARKLING 320ML,2023,12,Awal Bulan,897500.0,1140000.0
ADEM SARI SPARKLING 320ML,2023,12,Tengah Bulan,799500.0,897500.0
ADEM SARI SPARKLING 320ML,2024,1,Akhir Bulan,925500.0,
ADEM SARI SPARKLING 320ML,2024,1,Awal Bulan,817500.0,925500.0
ADEM SARI SPARKLING 320ML,2024,1,Tengah Bulan,1298500.0,817500.0
ADEM SARI SPARKLING 320ML,2024,2,Akhir Bulan,379500.0,1298500.0
ADEM SARI SPARKLING 320ML,2024,2,Awal Bulan,276000.0,379500.0
ADEM SARI SPARKLING 320ML,2024,2,Tengah Bulan,1040500.0,276000.0
ADEM SARI SPARKLING 320ML,2024,3,Akhir Bulan,236000.0,1040500.0
ADEM SARI SPARKLING 320ML,2024,3,Awal Bulan,127500.0,236000.0
ADEM SARI SPARKLING 320ML,2024,3,Tengah Bulan,951000.0,127500.0
ADEM SARI SPARKLING 320ML,2024,4,Tengah Bulan,528500.0,951000.0
AFIAMIE GORENG ORI,2024,1,Akhir Bulan,277500.0,
AFIAMIE GORENG ORI,2024,1,Tengah Bulan,249500.0,277500.0
AFIAMIE GORENG ORI,2024,2,Akhir Bulan,149000.0,249500.0
AFIAMIE GORENG ORI,2024,2,Awal Bulan,115000.0,149000.0
AFIAMIE GORENG ORI,2024,2,Tengah Bulan,198000.0,115000.0
AFIAMIE GORENG ORI,2024,3,Akhir Bulan,25000.0,198000.0
AFIAMIE GORENG ORI,2024,3,Awal Bulan,53000.0,25000.0
AFIAMIE GORENG ORI,2024,4,Akhir Bulan,53500.0,53000.0
AFIAMIE GORENG ORI,2024,5,Akhir Bulan,146500.0,53500.0
AFIAMIE GORENG ORI,2024,5,Awal Bulan,105000.0,146500.0
AFIAMIE GORENG ORI,2024,5,Tengah Bulan,76500.0,105000.0
AFIAMIE KUAH AYAM BAWANG,2024,1,Akhir Bulan,199000.0,
AFIAMIE KUAH AYAM BAWANG,2024,1,Tengah Bulan,293500.0,199000.0
AFIAMIE KUAH AYAM BAWANG,2024,2,Akhir Bulan,48000.0,293500.0
AFIAMIE KUAH AYAM BAWANG,2024,2,Awal Bulan,159000.0,48000.0
AFIAMIE KUAH AYAM BAWANG,2024,2,Tengah Bulan,44000.0,159000.0
AFIAMIE KUAH AYAM BAWANG,2024,3,Akhir Bulan,25000.0,44000.0
AGNESIS KNEE,2024,5,Akhir Bulan,38000.0,
AGNESIS KNEE,2024,6,Awal Bulan,83000.0,38000.0
AGNESIS KNEE PROTECTOR,2024,6,Awal Bulan,140000.0,
AHH GOGUMA 4G,2024,1,Akhir Bulan,1080000.0,
AHH GOGUMA 4G,2024,1,Awal Bulan,763000.0,1080000.0
AHH GOGUMA 4G,2024,1,Tengah Bulan,116500.0,763000.0
AHH GOGUMA 4G,2024,2,Akhir Bulan,3500.0,116500.0
AHH GOGUMA 4G,2024,2,Awal Bulan,654500.0,3500.0
AHH GOGUMA 4G,2024,2,Tengah Bulan,132500.0,654500.0
AHH GOGUMA 4G,2024,3,Akhir Bulan,4000.0,132500.0
AHH GOGUMA 4G,2024,3,Awal Bulan,353000.0,4000.0
AHH GOGUMA 4G,2024,3,Tengah Bulan,314500.0,353000.0
AHH GOGUMA 4G,2024,4,Akhir Bulan,1427500.0,314500.0
AHH GOGUMA 4G,2024,4,Tengah Bulan,74500.0,1427500.0
AHH GOGUMA 4G,2024,5,Akhir Bulan,1058500.0,74500.0
AHH GOGUMA 4G,2024,6,Awal Bulan,1559500.0,1058500.0
AHH GOGUMA 4G,2024,6,Tengah Bulan,423500.0,1559500.0
AHH RICHOCO 5 G,2023,12,Akhir Bulan,463000.0,
AHH RICHOCO 5 G,2023,12,Awal Bulan,371500.0,463000.0
AHH RICHOCO 5 G,2023,12,Tengah Bulan,515000.0,371500.0
AHH RICHOCO 5 G,2024,1,Akhir Bulan,835000.0,
AHH RICHOCO 5 G,2024,1,Awal Bulan,1342000.0,835000.0
AHH RICHOCO 5 G,2024,1,Tengah Bulan,568000.0,1342000.0
AHH RICHOCO 5 G,2024,2,Akhir Bulan,78500.0,568000.0
AHH RICHOCO 5 G,2024,2,Awal Bulan,240000.0,78500.0
AHH RICHOCO 5 G,2024,2,Tengah Bulan,162000.0,240000.0
AHH RICHOCO 5 G,2024,3,Awal Bulan,308500.0,162000.0
AHH RICHOCO 5 G,2024,3,Tengah Bulan,21000.0,308500.0
AHH RICHOCO 5 G,2024,4,Akhir Bulan,1738500.0,21000.0
AHH RICHOCO 5 G,2024,4,Tengah Bulan,206000.0,1738500.0
AHH RICHOCO 5 G,2024,5,Akhir Bulan,1314100.0,206000.0
AHH RICHOCO 5 G,2024,5,Awal Bulan,2100500.0,1314100.0
AHH RICHOCO 5 G,2024,5,Tengah Bulan,1480500.0,2100500.0
AHH RICHOCO 5 G,2024,6,Awal Bulan,387500.0,1480500.0
AICE 3 IN 1 COLORS,2023,12,Akhir Bulan,869500.0,
AICE 3 IN 1 COLORS,2023,12,Awal Bulan,187000.0,869500.0
AICE 3 IN 1 COLORS,2023,12,Tengah Bulan,132500.0,187000.0
AICE 3 IN 1 COLORS,2024,1,Akhir Bulan,395500.0,
AICE 3 IN 1 COLORS,2024,1,Awal Bulan,231500.0,395500.0
AICE 3 IN 1 COLORS,2024,1,Tengah Bulan,367000.0,231500.0
AICE 3 IN 1 COLORS,2024,2,Akhir Bulan,228000.0,367000.0
AICE 3 IN 1 COLORS,2024,2,Awal Bulan,615500.0,228000.0
AICE 3 IN 1 COLORS,2024,2,Tengah Bulan,742500.0,615500.0
AICE BANAN CRISPY,2023,12,Akhir Bulan,68500.0,
AICE BANAN CRISPY,2024,1,Akhir Bulan,162500.0,
AICE BANAN CRISPY,2024,1,Awal Bulan,325000.0,162500.0
AICE BANAN CRISPY,2024,1,Tengah Bulan,642500.0,325000.0
AICE BINGO COOKIES CONE,2023,12,Akhir Bulan,640000.0,
AICE BINGO COOKIES CONE,2023,12,Awal Bulan,309500.0,640000.0
AICE BINGO COOKIES CONE,2023,12,Tengah Bulan,519000.0,309500.0
AICE BINGO COOKIES CONE,2024,1,Akhir Bulan,10000.0,
AICE BINGO COOKIES CONE,2024,1,Awal Bulan,116500.0,10000.0
AICE BINGO COOKIES CONE,2024,1,Tengah Bulan,390000.0,116500.0
AICE BINGO COOKIES CONE,2024,2,Awal Bulan,243500.0,390000.0
AICE BINGO COOKIES CONE,2024,2,Tengah Bulan,120500.0,243500.0
AICE BINGO COOKIES CONE,2024,3,Awal Bulan,334500.0,120500.0
AICE BINGO COOKIES CONE,2024,4,Akhir Bulan,971500.0,334500.0
AICE BINGO COOKIES CONE,2024,5,Akhir Bulan,910500.0,971500.0
AICE BINGO COOKIES CONE,2024,5,Awal Bulan,1130000.0,910500.0
AICE BINGO COOKIES CONE,2024,5,Tengah Bulan,1656000.0,1130000.0
AICE BINGO COOKIES CONE,2024,6,Awal Bulan,803500.0,1656000.0
AICE BINGO COOKIES CONE,2024,6,Tengah Bulan,349500.0,803500.0
AICE BLUEBERRY COOKIES,2023,12,Akhir Bulan,195000.0,
AICE BLUEBERRY COOKIES,2023,12,Awal Bulan,251500.0,195000.0
AICE BLUEBERRY COOKIES,2023,12,Tengah Bulan,189500.0,251500.0
AICE BLUEBERRY COOKIES,2024,2,Akhir Bulan,453500.0,
AICE BLUEBERRY COOKIES,2024,2,Tengah Bulan,150500.0,453500.0
AICE BOBA BROWNS SUGAR,2023,12,Akhir Bulan,337500.0,
AICE BOBA BROWNS SUGAR,2023,12,Awal Bulan,62000.0,337500.0
AICE BOBA BROWNS SUGAR,2023,12,Tengah Bulan,436000.0,62000.0
AICE BOBA BROWNS SUGAR,2024,1,Akhir Bulan,264000.0,
AICE BOBA BROWNS SUGAR,2024,1,Awal Bulan,265500.0,264000.0
AICE BOBA BROWNS SUGAR,2024,1,Tengah Bulan,863000.0,265500.0
AICE BOBA BROWNS SUGAR,2024,2,Akhir Bulan,510500.0,863000.0
AICE BOBA BROWNS SUGAR,2024,2,Awal Bulan,147000.0,510500.0
AICE BOBA BROWNS SUGAR,2024,2,Tengah Bulan,436000.0,147000.0
AICE CHOCO MALT 3IN1 49ML,2023,12,Akhir Bulan,349000.0,
AICE CHOCO MALT 3IN1 49ML,2024,1,Akhir Bulan,60000.0,
AICE CHOCO MALT 3IN1 49ML,2024,1,Awal Bulan,861000.0,60000.0
AICE CHOCO MALT 3IN1 49ML,2024,1,Tengah Bulan,73000.0,861000.0
AICE CHOCO MALT 3IN1 49ML,2024,2,Akhir Bulan,181200.0,73000.0
AICE CHOCO MALT 3IN1 49ML,2024,2,Awal Bulan,697000.0,181200.0
AICE CHOCO MALT 3IN1 49ML,2024,2,Tengah Bulan,429000.0,697000.0
AICE CHOCO MALT 3IN1 49ML,2024,4,Akhir Bulan,630500.0,429000.0
AICE CHOCO MALT 3IN1 49ML,2024,5,Akhir Bulan,736500.0,630500.0
AICE CHOCO MALT 3IN1 49ML,2024,5,Awal Bulan,942500.0,736500.0
AICE CHOCO MALT 3IN1 49ML,2024,5,Tengah Bulan,490000.0,942500.0
AICE CHOCO MALT 3IN1 49ML,2024,6,Awal Bulan,621500.0,490000.0
AICE CHOCO MALT 3IN1 49ML,2024,6,Tengah Bulan,254500.0,621500.0
AICE CHOCOLATE 2 COLOUR,2023,12,Akhir Bulan,911500.0,
AICE CHOCOLATE 2 COLOUR,2023,12,Awal Bulan,416500.0,911500.0
AICE CHOCOLATE 2 COLOUR,2023,12,Tengah Bulan,557000.0,416500.0
AICE CHOCOLATE 2 COLOUR,2024,1,Akhir Bulan,529000.0,
AICE CHOCOLATE 2 COLOUR,2024,1,Awal Bulan,628000.0,529000.0
AICE CHOCOLATE 2 COLOUR,2024,1,Tengah Bulan,582500.0,628000.0
AICE CHOCOLATE 2 COLOUR,2024,2,Akhir Bulan,369500.0,582500.0
AICE CHOCOLATE 2 COLOUR,2024,2,Awal Bulan,371500.0,369500.0
AICE CHOCOLATE 2 COLOUR,2024,2,Tengah Bulan,395500.0,371500.0
AICE CHOCOLATE 2 COLOUR,2024,4,Akhir Bulan,531500.0,395500.0
AICE CHOCOLATE 2 COLOUR,2024,5,Akhir Bulan,482000.0,531500.0
AICE CHOCOLATE 2 COLOUR,2024,5,Awal Bulan,722500.0,482000.0
AICE CHOCOLATE 2 COLOUR,2024,5,Tengah Bulan,750000.0,722500.0
AICE CHOCOLATE 2 COLOUR,2024,6,Awal Bulan,726000.0,750000.0
