"KdBarang","NmBarang","Bulan","Tahun","TotalTerjual"
"112",ROTI LA-TANSA CINAMON ROLL,5,2024,1
"11212",KERTAS NASI,5,2024,104
"11212",KERTAS NASI,6,2024,185
"1123",SABUK KAIN COKLAT,4,2024,2
"1123",SABUK KAIN COKLAT,6,2024,1
"1124",SABUK KAIN HITAM,12,2023,11
"1124",SABUK KAIN HITAM,1,2024,10
"1124",SABUK KAIN HITAM,2,2024,13
"1124",SABUK KAIN HITAM,3,2024,1
"1124",SABUK KAIN HITAM,4,2024,8
"1124",SABUK KAIN HITAM,5,2024,8
"1124",SABUK KAIN HITAM,6,2024,1
"113",ROTI LA TANSA BROWNIS,12,2023,205
"113",ROTI LA TANSA BROWNIS,2,2024,285
"113",ROTI LA TANSA BROWNIS,5,2024,147
"113",ROTI LA TANSA BROWNIS,6,2024,1
"114",ROTI LA-TANSA PIZZA MANIS,1,2024,108
"114",ROTI LA-TANSA PIZZA MANIS,4,2024,72
"114",ROTI LA-TANSA PIZZA MANIS,5,2024,56
"114",ROTI LA-TANSA PIZZA MANIS,6,2024,62
"115",ROTI LA- TANSA GO,1,2024,260
"115",ROTI LA- TANSA GO,2,2024,80
"115",ROTI LA- TANSA GO,3,2024,1
"115",ROTI LA- TANSA GO,5,2024,7
"11747234160",GARAM MEJA DOLPIN 250G,12,2023,1
"11747234160",GARAM MEJA DOLPIN 250G,1,2024,3
"1213",KRESEK MERAH/HITAM BESAR,12,2023,1
"1213",KRESEK MERAH/HITAM BESAR,1,2024,1
"1213",KRESEK MERAH/HITAM BESAR,2,2024,21
"121474",CITRUN GAJAH 200,12,2023,8
"121474",CITRUN GAJAH 200,1,2024,4
"121474",CITRUN GAJAH 200,2,2024,6
"121474",CITRUN GAJAH 200,4,2024,5
"121474",CITRUN GAJAH 200,5,2024,3
"121474",CITRUN GAJAH 200,6,2024,6
"12234748438",KTR STIK SAYUR RISKI,5,2024,2
"123",KOREK API,12,2023,35
"123",KOREK API,1,2024,41
"123",KOREK API,2,2024,53
"123",KOREK API,3,2024,6
"1230002",KTR TONGKOL BALL,12,2023,3
"1230002",KTR TONGKOL BALL,1,2024,10
"1230002",KTR TONGKOL BALL,2,2024,7
"123122111",KTR CENDOL SUMBER RASA,5,2024,1
"123122234",KTR ASTOR BARCELO,5,2024,2
"1232122",PULPEN M1,5,2024,21
"123300401",LEM G,5,2024,12
"123300404",GEMBOK IRON LOCK,5,2024,52
"123300404",GEMBOK IRON LOCK,6,2024,7
"123300405",HANGER HITAM ISI 6,4,2024,14
"123300405",HANGER HITAM ISI 6,5,2024,22
"123300406",HANGER WARNA,4,2024,1
"123300406",HANGER WARNA,5,2024,18
"123300407",HANDUK MANDI,5,2024,26
"123300407",HANDUK MANDI,6,2024,17
"123300408",EMBER TC 18 BB,4,2024,1
"123300408",EMBER TC 18 BB,5,2024,1
"123300408",EMBER TC 18 BB,6,2024,3
"123456",PLASTIK UNGGU SEDANG,12,2023,1
"123456",PLASTIK UNGGU SEDANG,3,2024,1
"1239876",DONAT ISI 2,4,2024,5
"1239876",DONAT ISI 2,5,2024,34
"1240515",MANGKOK PUTIH PLASTIK,5,2024,12
"1240515",MANGKOK PUTIH PLASTIK,6,2024,16
"1250",MD MIE GULUNG,4,2024,15
"1252",KTR RAMBAK BALL,12,2023,4
"1252",KTR RAMBAK BALL,1,2024,4
"1252",KTR RAMBAK BALL,2,2024,4
"1252",KTR RAMBAK BALL,4,2024,2
"12700",KANEBO INNOVA,5,2024,1
"12700",KANEBO INNOVA,6,2024,2
"1285785",BOLU IRIS,4,2024,12
"1285785",BOLU IRIS,5,2024,83
"1285785",BOLU IRIS,6,2024,15
"13023",CELANA BADMINTON JR,5,2024,2
"13052023",MD SAMBALADA SEAFOOD,4,2024,7
"13052023",MD SAMBALADA SEAFOOD,5,2024,22
"13052023",MD SAMBALADA SEAFOOD,6,2024,23
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",12,2023,337
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",1,2024,244
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",2,2024,314
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",3,2024,8
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",4,2024,476
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",5,2024,652
"130823","MD KERUPUK SEBLAK ""RASA PEDAS""",6,2024,266
"13123",DONAT ISI 1,12,2023,712
"13123",DONAT ISI 1,1,2024,404
"13123",DONAT ISI 1,2,2024,175
"13123",DONAT ISI 1,4,2024,36
"13123",DONAT ISI 1,5,2024,54
"13124",BROWNIS,12,2023,16
"13124",BROWNIS,1,2024,110
"13124",BROWNIS,5,2024,1
"13125",BROWNIS KCL,12,2023,16
"13125",BROWNIS KCL,1,2024,10
"13256621202",TONG GARDEN 120G CHILI BROAD BEANS,12,2023,3
"13256621202",TONG GARDEN 120G CHILI BROAD BEANS,1,2024,4
"1332",TIKAR EVA SHINAMO 120 X200,5,2024,2
"1332",TIKAR EVA SHINAMO 120 X200,6,2024,1
"1333",BANTAL JOIS,5,2024,5
"1334",GULING JOIS,5,2024,3
"1334",GULING JOIS,6,2024,2
"13462",CELANA TRAINING JOGER IMPORT 130,5,2024,2
"13462",CELANA TRAINING JOGER IMPORT 130,6,2024,1
"13822",CELANA TRAINING SPORT PENDEK 85,5,2024,1
"13822",CELANA TRAINING SPORT PENDEK 85,6,2024,2
"1402023",MD MACARONI MAKJOS,4,2024,40
"1402023",MD MACARONI MAKJOS,5,2024,9
"14092023",KERTAS NASI REGAL,12,2023,16
"14092023",KERTAS NASI REGAL,1,2024,15
"14092023",KERTAS NASI REGAL,2,2024,22
"14092023",KERTAS NASI REGAL,3,2024,2
"14092023",KERTAS NASI REGAL,4,2024,19
"1502",ROTI BOLU FAJAR,2,2024,4
"1509",LEM G LINKO,1,2024,1
"1509",LEM G LINKO,4,2024,2
"1509",LEM G LINKO,5,2024,5
"1509",LEM G LINKO,6,2024,3
"15092023",ROTI COCOLA CUP CAKE PANDAN,5,2024,3
"15092024",ROTI COCOLA CUP CAKE MOCHA,5,2024,1
"15122023",ROTI LA-TANSA SMOKE BEFF,12,2023,120
"15122023",ROTI LA-TANSA SMOKE BEFF,1,2024,93
"15122023",ROTI LA-TANSA SMOKE BEFF,2,2024,121
"15122023",ROTI LA-TANSA SMOKE BEFF,4,2024,71
"15122023",ROTI LA-TANSA SMOKE BEFF,5,2024,71
"15122023",ROTI LA-TANSA SMOKE BEFF,6,2024,188
"152113",KANEBO ORION,6,2024,1
"1560483",BOLU BESAR,5,2024,1
"156854",KTR RAMBAK MEDAN KCL,12,2023,4
"156854",KTR RAMBAK MEDAN KCL,2,2024,4
"1600",NASI AYAM KECAP,5,2024,17
"161",KRUPUK TAHU LOS,5,2024,18
"16122023",ROTI LA-TANSA FLOSS ROLL,12,2023,145
"16122023",ROTI LA-TANSA FLOSS ROLL,1,2024,88
"16122023",ROTI LA-TANSA FLOSS ROLL,5,2024,107
"16122023",ROTI LA-TANSA FLOSS ROLL,6,2024,44
"1627788828",ROTI LA-TANSA KACANG IJO,5,2024,28
"1627788828",ROTI LA-TANSA KACANG IJO,6,2024,4
"1750",BOLU PANDAN,5,2024,41
"1780",JAHIS ROTI PIZZA,5,2024,225
"1780",JAHIS ROTI PIZZA,6,2024,140
"1790",JAHIS ROTI PANGGANG,5,2024,3
"1800",ROTI LATANSA DONAT,5,2024,66
"180124",MD JAHIS SNACK KCL,1,2024,29
"180124",MD JAHIS SNACK KCL,2,2024,12
"180125",MD JAHIS SNACK BSR,1,2024,19
"180125",MD JAHIS SNACK BSR,2,2024,20
"180125",MD JAHIS SNACK BSR,3,2024,4
"180126",MD JAHIS SNACK SDG,1,2024,10
"180126",MD JAHIS SNACK SDG,2,2024,3
"180127",MD SNACK JAHIS BLT,2,2024,1
"1902",JJN PSR MAC DJAZARA,2,2024,10
"1902",JJN PSR MAC DJAZARA,3,2024,47
"1902",JJN PSR MAC DJAZARA,4,2024,49
"1903",JJN PSA MAC PANDA 2K,2,2024,99
"1904",JJN PSR MAC SPIRAL,2,2024,101
"1905",JJN PSR KRUPUK UDANG,2,2024,30
"1905",JJN PSR KRUPUK UDANG,5,2024,2
"1906",JJN PSR CUMI CUMI,2,2024,40
"190823",KAOS KAKI BOLA ADIDAS,12,2023,1
"19111234",SABUK KAIN POLOS,6,2024,5
"1987001",HANDUK SEDANG,12,2023,18
"1987001",HANDUK SEDANG,1,2024,19
"1987001",HANDUK SEDANG,2,2024,14
"1987001",HANDUK SEDANG,3,2024,7
"1987001",HANDUK SEDANG,4,2024,49
"1987001",HANDUK SEDANG,5,2024,14
"1987002",HANGER LUMBA LUMBA,12,2023,34
"1987002",HANGER LUMBA LUMBA,1,2024,14
"1987002",HANGER LUMBA LUMBA,2,2024,12
"1987002",HANGER LUMBA LUMBA,3,2024,3
"1987002",HANGER LUMBA LUMBA,4,2024,45
"1987006",GAYUNG STRA JUMBO,12,2023,18
"1987006",GAYUNG STRA JUMBO,1,2024,9
"1987006",GAYUNG STRA JUMBO,2,2024,3
"1987006",GAYUNG STRA JUMBO,4,2024,77
"1987008",HANDUK BESAR,12,2023,11
"1987008",HANDUK BESAR,1,2024,6
"1987008",HANDUK BESAR,2,2024,6
"1987008",HANDUK BESAR,3,2024,1
"1987008",HANDUK BESAR,4,2024,62
"1987008",HANDUK BESAR,5,2024,2
"2",ENGSEL KZK,5,2024,35
"2,02E+15",BON CABE L.15,4,2024,1
"2,10E+12",MATERAI 10.000,5,2024,110
"2,10E+12",MATERAI 10.000,6,2024,80
"200",NASI KUNING,4,2024,31
"200",NASI KUNING,5,2024,186
"200",NASI KUNING,6,2024,147
"200097",GELAS KERTAS,12,2023,26
"200097",GELAS KERTAS,1,2024,47
"200097",GELAS KERTAS,2,2024,40
"200097",GELAS KERTAS,3,2024,6
"200124",HANDBAG,1,2024,2
"200124",HANDBAG,2,2024,1
"200124",HANDBAG,4,2024,4
"200124",HANDBAG,5,2024,2
"200124",HANDBAG,6,2024,1
"200125",TOTEBAG,1,2024,1
"200125",TOTEBAG,3,2024,1
"200125",TOTEBAG,5,2024,1
"200125",TOTEBAG,6,2024,1
"20029",CD GIOVANNI,1,2024,1
"20029",CD GIOVANNI,2,2024,4
"20029",CD GIOVANNI,4,2024,11
"20029",CD GIOVANNI,6,2024,3
"20044",KTR KRIPIK TEMPE,12,2023,2
"20044",KTR KRIPIK TEMPE,1,2024,3
"20044",KTR KRIPIK TEMPE,2,2024,6
"2005202401",SEDOTAN HITAM,5,2024,1
"2005202402",GELAS PAPER CUP BESAR,5,2024,11
"2005202402",GELAS PAPER CUP BESAR,6,2024,4
"2005202403",GELAS PAPER CUP KECIL ISI 50,5,2024,1
"2005202403",GELAS PAPER CUP KECIL ISI 50,6,2024,4
"2005202404",SEDOTAN KOPI 15 CM,6,2024,2
"20053",KAOS DALAM BEE MAN V PUTIH,3,2024,1
"20053",KAOS DALAM BEE MAN V PUTIH,4,2024,3
"20053",KAOS DALAM BEE MAN V PUTIH,5,2024,2
"20063",KAOS DALAM BEE MAN ABU ABU,4,2024,3
"20063",KAOS DALAM BEE MAN ABU ABU,5,2024,1
"20063",KAOS DALAM BEE MAN ABU ABU,6,2024,1
"20073",KAOS DALAM BEE MAN V HTM,4,2024,1
"20073",KAOS DALAM BEE MAN V HTM,5,2024,3
"20073",KAOS DALAM BEE MAN V HTM,6,2024,2
"201",KAOS KAKI PANJANG JAMIELS,4,2024,1
"201",KAOS KAKI PANJANG JAMIELS,5,2024,3
"201",KAOS KAKI PANJANG JAMIELS,6,2024,57
"20110",KTR POTATO BUNCIS BALL,2,2024,4
"20110",KTR POTATO BUNCIS BALL,6,2024,1
"20123",KAOS UNIDA GONTOR,2,2024,2
"20123",KAOS UNIDA GONTOR,4,2024,1
"20124",KAOS UNIDA GONTOR PREMIUM,1,2024,1
"20124",KAOS UNIDA GONTOR PREMIUM,4,2024,1
"20193",CD KASOGI SUPERMAN,4,2024,4
"20193",CD KASOGI SUPERMAN,5,2024,3
"202",KAOS KAKI PENDEK JAMIELS,5,2024,7
"202",KAOS KAKI PENDEK JAMIELS,6,2024,29
"2020",KACANG KULIT NDIKC,12,2023,40
"2020",KACANG KULIT NDIKC,1,2024,4
"2020",KACANG KULIT NDIKC,2,2024,36
"2020",KACANG KULIT NDIKC,3,2024,3
"2020",KACANG KULIT NDIKC,4,2024,8
"2020",KACANG KULIT NDIKC,5,2024,3
"2020",KACANG KULIT NDIKC,6,2024,22
"202025",HANGER BESI TEBAL,4,2024,155
"202025",HANGER BESI TEBAL,5,2024,152
"202025",HANGER BESI TEBAL,6,2024,95
"202026",CUP KOPI BESAR,4,2024,5
"202026",CUP KOPI BESAR,5,2024,9
"202026",CUP KOPI BESAR,6,2024,10
"202027",GAYUNG,4,2024,6
"202027",GAYUNG,5,2024,70
"202027",GAYUNG,6,2024,10
"202028",EMBER HITAM,5,2024,8
"202028",EMBER HITAM,6,2024,4
"202029",PEL PANDA,6,2024,1
"202031",TEMPAT SABUN BATANG ANGEL,4,2024,6
"202031",TEMPAT SABUN BATANG ANGEL,5,2024,38
"202031",TEMPAT SABUN BATANG ANGEL,6,2024,24
"202032",GELAS GANGGANG PLASTIK,5,2024,6
"202032",GELAS GANGGANG PLASTIK,6,2024,12
"202033",TEMPAT SABUN UPPO,4,2024,3
"202033",TEMPAT SABUN UPPO,5,2024,9
"202101",GEMBOK VERRIZ,12,2023,9
"202101",GEMBOK VERRIZ,4,2024,15
"202102",GEMBOK GRT PJ,12,2023,15
"202102",GEMBOK GRT PJ,1,2024,15
"202102",GEMBOK GRT PJ,2,2024,14
"202102",GEMBOK GRT PJ,4,2024,18
"202104",MAWAR CAMILAN,5,2024,1
"202106",ROTI TAWAR,12,2023,20
"202106",ROTI TAWAR,1,2024,45
"202106",ROTI TAWAR,2,2024,72
"202107",SPON MANDI,12,2023,24
"202107",SPON MANDI,1,2024,22
"202107",SPON MANDI,2,2024,5
"202107",SPON MANDI,3,2024,1
"202107",SPON MANDI,4,2024,48
"202107",SPON MANDI,5,2024,20
"202107",SPON MANDI,6,2024,40
"202109",CELANA DALAM YUNG YUNG,12,2023,7
"202109",CELANA DALAM YUNG YUNG,1,2024,8
"202111",GULA PASIR,12,2023,53
"202111",GULA PASIR,1,2024,48
"202111",GULA PASIR,2,2024,39
"202111",GULA PASIR,3,2024,1
"202111",GULA PASIR,5,2024,18
"202111",GULA PASIR,6,2024,35
"20211201",KEMEJA ALISAN PUTIH PANJANG,4,2024,19
"20211201",KEMEJA ALISAN PUTIH PANJANG,6,2024,2
"20221",KRIPIK TEMPE SAGU NDIKC,5,2024,2
"20221",KRIPIK TEMPE SAGU NDIKC,6,2024,1
"20222",KACA PENNY,12,2023,2
"20222",KACA PENNY,1,2024,3
"202405",KTR SEPAT DJ 4 KG,5,2024,2
"2024050201",PULPEN STANDARD,5,2024,16
"2024050201",PULPEN STANDARD,6,2024,24
"202405081",CD MEN`S BRIEFS AGREE UK L,5,2024,2
"202405082",CD EXCLUSIVE MEN`S AGREE UK L / M,5,2024,3
"202405082",CD EXCLUSIVE MEN`S AGREE UK L / M,6,2024,1
"202405083",CD AGREE UKURAN XL / XXL,5,2024,4
"202405083",CD AGREE UKURAN XL / XXL,6,2024,2
"20240604",KTR KRUPUK 22,6,2024,4
"20240604005",CD GRAND STAR XL,6,2024,3
"2024064001",CD ROMEO GRACIO M,6,2024,1
"2024064004",CD GRAND STAR L,6,2024,5
"20240641",KTR CEREAL UDANG PDS,6,2024,2
"20247489",ES LECI PINKY,6,2024,67
"2025",MASKER SCUBA,5,2024,2
"2027",MASKER DUCKBILL,4,2024,1
"20283",CD KASOGI SPORT,12,2023,1
"203",HANGER BESI AJ,12,2023,7
"203",HANGER BESI AJ,1,2024,25
"203",HANGER BESI AJ,2,2024,5
"203",HANGER BESI AJ,3,2024,9
"203",HANGER BESI AJ,4,2024,7
"203",HANGER BESI AJ,5,2024,6
"2030",PAYUNG LIPAT,4,2024,1
"2032",PAYUNG WARNA POLOS/MOTIF,12,2023,1
"2032",PAYUNG WARNA POLOS/MOTIF,3,2024,1
"2034",JAS HUJAN WARNA PONCO,12,2023,3
"2034",JAS HUJAN WARNA PONCO,1,2024,3
"2034",JAS HUJAN WARNA PONCO,2,2024,6
"2034",JAS HUJAN WARNA PONCO,4,2024,5
"2035",JAS HUJAN BAJU + CELANA,12,2023,6
"2035",JAS HUJAN BAJU + CELANA,1,2024,2
"2035",JAS HUJAN BAJU + CELANA,2,2024,2
"2035",JAS HUJAN BAJU + CELANA,3,2024,2
"2035",JAS HUJAN BAJU + CELANA,4,2024,1
"2035",JAS HUJAN BAJU + CELANA,5,2024,1
"204",SANDAL JEPIT MELLY,12,2023,42
"204",SANDAL JEPIT MELLY,1,2024,11
"204",SANDAL JEPIT MELLY,2,2024,26
"204",SANDAL JEPIT MELLY,3,2024,9
"204",SANDAL JEPIT MELLY,4,2024,15
"204",SANDAL JEPIT MELLY,5,2024,21
"204",SANDAL JEPIT MELLY,6,2024,25
"20406002",CD ROMEO GARCIO L,6,2024,5
"204064003",CD ROMEO XL,6,2024,2
"204080501",TASBIH DIGITAL,5,2024,6
"20453",CD KASOGI X PERT,1,2024,1
"20453",CD KASOGI X PERT,2,2024,1
"20473",CD BEE MAN,12,2023,4
"205",SIKAT CUCI KAYU,12,2023,25
"205",SIKAT CUCI KAYU,1,2024,24
"205",SIKAT CUCI KAYU,2,2024,14
"205",SIKAT CUCI KAYU,3,2024,1
"205",SIKAT CUCI KAYU,4,2024,59
"205",SIKAT CUCI KAYU,5,2024,93
"205",SIKAT CUCI KAYU,6,2024,42
"210013",AMIDAS CUP,12,2023,2
"210015",AMIDAS BOTOL 1 DUS 600 ML,5,2024,5
"210015",AMIDAS BOTOL 1 DUS 600 ML,6,2024,5
"2101",ENGSEL VOXY,12,2023,3
"2101",ENGSEL VOXY,1,2024,1
"21010",KTR KRUPUK KOIN IKAN PUTIH BAL,12,2023,4
"21010",KTR KRUPUK KOIN IKAN PUTIH BAL,1,2024,2
"21010",KTR KRUPUK KOIN IKAN PUTIH BAL,2,2024,1
"21011",KTR KRUPUK SEBLAK BAL,5,2024,1
"21013",KTR POTATO MINI,12,2023,7
"21013",KTR POTATO MINI,1,2024,4
"21013",KTR POTATO MINI,2,2024,3
"21013",KTR POTATO MINI,5,2024,4
"21013",KTR POTATO MINI,6,2024,4
"21016",KTR KRIPIK PISANG BAL,4,2024,1
"21018",KTR USUS LESTARI BALL,12,2023,3
"21018",KTR USUS LESTARI BALL,1,2024,8
"21018",KTR USUS LESTARI BALL,2,2024,4
"21018",KTR USUS LESTARI BALL,4,2024,1
"21018",KTR USUS LESTARI BALL,5,2024,1
"21018",KTR USUS LESTARI BALL,6,2024,1
"21023",KTR BARCELONA,1,2024,1
"21023",KTR BARCELONA,2,2024,1
"21023",KTR BARCELONA,4,2024,2
"21023",KTR BARCELONA,6,2024,1
"21024",KTR SINGKONG  BALADO BALL,2,2024,2
"21028",KRIPIK HAPPY TOS BALADO 150G,4,2024,1
"21032",SARUNG AL BARKAH,2,2024,2
"21032",SARUNG AL BARKAH,3,2024,2
"21032",SARUNG AL BARKAH,5,2024,2
"2109",GELAS KERTAS CUP,4,2024,1
"21095689",GELAS KERTAS CUP MOTIF,4,2024,2
"21095689",GELAS KERTAS CUP MOTIF,5,2024,7
"2112",KTR SUS ARJUNA COKLAT,12,2023,1
"2112",KTR SUS ARJUNA COKLAT,1,2024,6
"2112",KTR SUS ARJUNA COKLAT,2,2024,4
"2112",KTR SUS ARJUNA COKLAT,5,2024,1
"2112",KTR SUS ARJUNA COKLAT,6,2024,1
