NoNota,TglNota,NmSupplier,Keterangan,Total,Pembayaran,TglFaktur,NoFaktur,Retur,TransBy
042024/NPB/000126,2024-04-27,TUNAI,,"Rp306,000",TUNAI,2024-04-27,,0,MEI
042024/NPB/000130,2024-04-27,TUNAI,,"Rp58,750",KREDIT,2024-04-27,,0,MEI
042024/NPB/000136,2024-04-27,TUNAI,,"Rp57,500",TUNAI,2024-04-27,,0,MEI
042024/NPB/000137,2024-04-27,TUNAI,,"Rp28,750",TUNAI,2024-04-27,,0,MEI
042024/NPB/000138,2024-04-27,TUNAI,,"Rp264,000",KREDIT,2024-04-27,,0,MEI
042024/NPB/000169,2024-04-28,TUNAI,,"Rp314,000",KREDIT,2024-04-28,,0,IKA
042024/NPB/000219,2024-04-30,TUNAI,,"Rp66,000",KREDIT,2024-04-30,,0,MEI
042024/NPB/000238,2024-04-30,TUNAI,,"Rp1,747,000",KREDIT,2024-04-30,,0,IKA
042024/NPB/000240,2024-04-30,TUNAI,,"Rp173,000",KREDIT,2024-04-30,,0,IKA
052024/NPB/000005,2024-05-01,TUNAI,,"Rp72,000",KREDIT,2024-04-30,,0,MEI
052024/NPB/000012,2024-05-01,TUNAI,,"Rp200,000",KREDIT,2024-05-01,,0,MEI
052024/NPB/000061,2024-05-05,TUNAI,,"Rp200,000",TUNAI,2024-05-05,,0,IKA
052024/NPB/000062,2024-05-05,TUNAI,,"Rp66,000",KREDIT,2024-05-05,,0,IKA
052024/NPB/000063,2024-05-05,TUNAI,,"Rp1,074,700",TUNAI,2024-05-05,,0,IKA
052024/NPB/000064,2024-05-05,TUNAI,,"Rp85,000",TUNAI,2024-05-05,,0,IKA
052024/NPB/000065,2024-05-05,TUNAI,,"Rp252,000",TUNAI,2024-05-05,,0,IKA
052024/NPB/000088,2024-05-09,TUNAI,,"Rp1,000,000",TUNAI,2024-05-09,,0,MEI
052024/NPB/000104,2024-05-09,TUNAI,,"Rp60,000",KREDIT,2024-05-09,,0,MEI
052024/NPB/000136,2024-05-12,TUNAI,,"Rp240,000",KREDIT,2024-05-12,,0,IKA
052024/NPB/000137,2024-05-12,TUNAI,,"Rp84,000",KREDIT,2024-05-12,,0,IKA
052024/NPB/000138,2024-05-12,TUNAI,,"Rp1,462,600",KREDIT,2024-05-12,,0,IKA
052024/NPB/000145,2024-05-12,TUNAI,,"Rp331,275",TUNAI,2024-05-12,,0,MEI
052024/NPB/000188,2024-05-19,TUNAI,,"Rp5,000,000",KREDIT,2024-05-19,,0,IKA
052024/NPB/000233,2024-05-27,TUNAI,,"Rp269,000",KREDIT,2024-05-27,,0,MEI
052024/NPB/000247,2024-05-30,TUNAI,,"Rp870,000",TUNAI,2024-05-30,,0,MEI
112023/NPB/000006,2023-11-01,TUNAI,,"Rp280,000",TUNAI,2023-11-01,,0,IKA
112023/NPB/000019,2023-11-06,TUNAI,,"Rp30,000",TUNAI,2023-11-06,,0,IKA
122023/NPB/000003,2023-12-01,TUNAI,,"Rp165,000",TUNAI,2023-12-01,,0,IKA
122023/NPB/000021,2023-12-03,TUNAI,,"Rp135,000",TUNAI,2023-12-03,,0,IKA
122023/NPB/000027,2023-12-04,TUNAI,,"Rp478,000",TUNAI,2023-12-04,,0,IKA
122023/NPB/000044,2023-12-09,TUNAI,,"Rp350,000",TUNAI,2023-12-09,,0,IKA
122023/NPB/000068,2023-12-15,TUNAI,,"Rp489,520",TUNAI,2023-12-15,,0,IKA
122023/NPB/000096,2023-12-24,TUNAI,,"Rp740,000",TUNAI,2023-12-24,,0,IKA
122023/NPB/000114,2023-12-28,TUNAI,,"Rp858,624",TUNAI,2023-12-28,,0,IKA
122023/NPB/000118,2023-12-29,TUNAI,,"Rp177,000",TUNAI,2023-12-29,,0,IKA
012024/NPB/000038,2024-01-08,UD ANEKA SARI PRATAMA,,"Rp3,321,000",TUNAI,2024-01-08,,0,IKA
012024/NPB/000048,2024-01-11,UD ANEKA SARI PRATAMA,,"Rp533,000",TUNAI,2024-01-11,,0,IKA
022024/NPB/000001,2024-02-01,UD ANEKA SARI PRATAMA,,"Rp5,059,000",TUNAI,2024-02-01,,0,IKA
042024/NPB/000223,2024-04-30,UD ANEKA SARI PRATAMA,,"Rp264,000",TUNAI,2024-04-30,,0,MEI
042024/NPB/000226,2024-04-30,UD ANEKA SARI PRATAMA,,"Rp755,000",TUNAI,2024-04-30,,0,MEI
042024/NPB/000227,2024-04-30,UD ANEKA SARI PRATAMA,,"Rp270,000",TUNAI,2024-04-30,,0,MEI
042024/NPB/000228,2024-04-30,UD ANEKA SARI PRATAMA,,"Rp478,000",TUNAI,2024-04-30,,0,MEI
052024/NPB/000095,2024-05-09,UD ANEKA SARI PRATAMA,,"Rp1,470,000",TUNAI,2024-05-09,,0,MEI
052024/NPB/000224,2024-05-25,UD ANEKA SARI PRATAMA,,"Rp1,406,000",TUNAI,2024-05-25,,0,MEI
062024/NPB/000016,2024-06-04,UD ANEKA SARI PRATAMA,,"Rp2,943,000",KREDIT,2024-06-04,,0,MEI
062024/NPB/000067,2024-06-13,UD ANEKA SARI PRATAMA,,"Rp694,000",TUNAI,2024-06-13,,0,MEI
112023/NPB/000051,2023-11-13,UD ANEKA SARI PRATAMA,,"Rp2,533,000",TUNAI,2023-11-13,,0,IKA
112023/NPB/000117,2023-11-29,UD ANEKA SARI PRATAMA,,"Rp2,468,500",TUNAI,2023-11-29,,0,IKA
052024/NPB/000231,2024-05-27,UNIDA MART,,"Rp69,000",TUNAI,2024-05-27,,0,MEI
052024/NPB/000235,2024-05-28,UNIDA MART,,"Rp300,000",KREDIT,2024-05-28,,0,MEI
